Key,verdict,ResponseTime,routineStart,routineEnd,participant_id,routineStart_original,routineEnd_original
1spl1,CORRECT,10.369815700003528,1970-01-20 10:40:03.249789320,1970-01-20 10:40:03.260159136,1,1680003249.7893205,1680003260.159136
1spl2,CORRECT,7.913991500012344,1970-01-20 10:40:03.260279103,1970-01-20 10:40:03.268193094,1,1680003260.2791028,1680003268.1930945
1Item1,CORRECT,7.654472000009264,1970-01-20 10:40:03.268224805,1970-01-20 10:40:03.275879278,1,1680003268.2248054,1680003275.8792777
1Item2,CORRECT,14.597205400001258,1970-01-20 10:40:03.275900465,1970-01-20 10:40:03.290497671,1,1680003275.9004655,1680003290.497671
1Item3,CORRECT,16.47656550000829,1970-01-20 10:40:03.290522370,1970-01-20 10:40:03.306998935,1,1680003290.5223696,1680003306.9989352
1Item4,CORRECT,17.546051800003625,1970-01-20 10:40:03.307023090,1970-01-20 10:40:03.324569142,1,1680003307.02309,1680003324.5691416
1Item5,CORRECT,26.0444800999976,1970-01-20 10:40:03.324586317,1970-01-20 10:40:03.350630797,1,1680003324.5863173,1680003350.6307974
1Item6,CORRECT,8.765434700006153,1970-01-20 10:40:03.350645991,1970-01-20 10:40:03.359411426,1,1680003350.6459908,1680003359.4114256
1Item7,CORRECT,8.89840630000981,1970-01-20 10:40:03.359433258,1970-01-20 10:40:03.368331665,1,1680003359.4332583,1680003368.3316646
1Item8,INCORRECT,16.455399600003147,1970-01-20 10:40:03.368345868,1970-01-20 10:40:03.384801268,1,1680003368.345868,1680003384.8012676
1Item9,INCORRECT,9.659429499995897,1970-01-20 10:40:03.384821398,1970-01-20 10:40:03.394480827,1,1680003384.8213978,1680003394.480827
1Item10,CORRECT,21.04241419999744,1970-01-20 10:40:03.394496188,1970-01-20 10:40:03.415538602,1,1680003394.496188,1680003415.538602
2spl1,CORRECT,6.252160399992135,1970-01-20 10:40:03.478647172,1970-01-20 10:40:03.484899333,1,1680003478.6471725,1680003484.8993328
2spl2,CORRECT,7.533956400002353,1970-01-20 10:40:03.486673482,1970-01-20 10:40:03.494207438,1,1680003486.6734822,1680003494.2074385
2Item1,CORRECT,4.509170100005576,1970-01-20 10:40:03.495418823,1970-01-20 10:40:03.499927993,1,1680003495.4188228,1680003499.9279928
2Item2,CORRECT,3.0500425999925938,1970-01-20 10:40:03.500996274,1970-01-20 10:40:03.504046317,1,1680003500.9962742,1680003504.0463169
2Item3,CORRECT,5.445206499993219,1970-01-20 10:40:03.505081890,1970-01-20 10:40:03.510527097,1,1680003505.08189,1680003510.5270965
2Item4,CORRECT,11.453220900002634,1970-01-20 10:40:03.511702980,1970-01-20 10:40:03.523156200,1,1680003511.7029796,1680003523.1562004
2Item5,CORRECT,7.448545399995055,1970-01-20 10:40:03.524000144,1970-01-20 10:40:03.531448689,1,1680003524.0001438,1680003531.4486892
2Item6,INCORRECT,12.24108750000596,1970-01-20 10:40:03.532482745,1970-01-20 10:40:03.544723833,1,1680003532.4827454,1680003544.7238328
2Item7,INCORRECT,34.899006499996176,1970-01-20 10:40:03.545837560,1970-01-20 10:40:03.580736567,1,1680003545.8375604,1680003580.736567
2Item8,CORRECT,8.483289900003001,1970-01-20 10:40:03.581515157,1970-01-20 10:40:03.589998446,1,1680003581.5151565,1680003589.9984465
2Item9,INCORRECT,19.09138410000014,1970-01-20 10:40:03.591025269,1970-01-20 10:40:03.610116653,1,1680003591.0252693,1680003610.1166534
2Item10,CORRECT,14.797885799998769,1970-01-20 10:40:03.611133628,1970-01-20 10:40:03.625931515,1,1680003611.1336284,1680003625.9315145
3spl1,CORRECT,3.337743699987186,1970-01-20 10:40:03.673472678,1970-01-20 10:40:03.676810422,1,1680003673.4726777,1680003676.8104217
3spl2,CORRECT,2.7742399999988265,1970-01-20 10:40:03.676836562,1970-01-20 10:40:03.679610802,1,1680003676.8365617,1680003679.6108017
